GUID 80d91f09c94c416099ad76423f5550cd

Type Spawn
ID 63285

Tables 53
Table_0_Asset_ID 62394
Table_0_Weight 2
Table_1_Asset_ID 62395
Table_1_Weight 2
Table_2_Asset_ID 62396
Table_2_Weight 2
Table_3_Asset_ID 62397
Table_3_Weight 2
Table_4_Asset_ID 62398
Table_4_Weight 2
Table_5_Asset_ID 62399
Table_5_Weight 2
Table_6_Asset_ID 62400
Table_6_Weight 2
Table_7_Asset_ID 62401
Table_7_Weight 2
Table_8_Asset_ID 62402
Table_8_Weight 2
Table_9_Asset_ID 62403
Table_9_Weight 2
Table_10_Asset_ID 62404
Table_10_Weight 2
Table_11_Asset_ID 62405
Table_11_Weight 2
Table_12_Asset_ID 62406
Table_12_Weight 2
Table_13_Asset_ID 62407
Table_13_Weight 2
Table_14_Asset_ID 62408
Table_14_Weight 2
Table_15_Asset_ID 62409
Table_15_Weight 2
Table_16_Asset_ID 62410
Table_16_Weight 2
Table_17_Asset_ID 62411
Table_17_Weight 2
Table_18_Asset_ID 62412
Table_18_Weight 2
Table_19_Asset_ID 62413
Table_19_Weight 2
Table_20_Asset_ID 62414
Table_20_Weight 2
Table_21_Asset_ID 62415
Table_21_Weight 2
Table_22_Asset_ID 62416
Table_22_Weight 2
Table_23_Asset_ID 62417
Table_23_Weight 2
Table_24_Asset_ID 62418
Table_24_Weight 2
Table_25_Asset_ID 62419
Table_25_Weight 2
Table_26_Asset_ID 62420
Table_26_Weight 2
Table_27_Asset_ID 62421
Table_27_Weight 2
Table_28_Asset_ID 62446
Table_28_Weight 2
Table_29_Asset_ID 62422
Table_29_Weight 2
Table_30_Asset_ID 62423
Table_30_Weight 2
Table_31_Asset_ID 62424
Table_31_Weight 2
Table_32_Asset_ID 62425
Table_32_Weight 2
Table_33_Asset_ID 62426
Table_33_Weight 2
Table_34_Asset_ID 62427
Table_34_Weight 2
Table_35_Asset_ID 62428
Table_35_Weight 2
Table_36_Asset_ID 62429
Table_36_Weight 2
Table_37_Asset_ID 62430
Table_37_Weight 2
Table_38_Asset_ID 62431
Table_38_Weight 2
Table_39_Asset_ID 62432
Table_39_Weight 2
Table_40_Asset_ID 62433
Table_40_Weight 2
Table_41_Asset_ID 62434
Table_41_Weight 2
Table_42_Asset_ID 62435
Table_42_Weight 2
Table_43_Asset_ID 62436
Table_43_Weight 2
Table_44_Asset_ID 62437
Table_44_Weight 2
Table_45_Asset_ID 62438
Table_45_Weight 2
Table_46_Asset_ID 62439
Table_46_Weight 2
Table_47_Asset_ID 62440
Table_47_Weight 2
Table_48_Asset_ID 62441
Table_48_Weight 2
Table_49_Asset_ID 62442
Table_49_Weight 2
Table_50_Asset_ID 62443
Table_50_Weight 2
Table_51_Asset_ID 62444
Table_51_Weight 2
Table_52_Asset_ID 62445
Table_52_Weight 2
