GUID 7791cf92638c451c952d3f92eac6b71c

Type Medium
ID 44086

Conditions 1
Condition_0_Type Flag_Short
Condition_0_ID 44000
Condition_0_Value 23
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Conditions 1
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 6306
Interactability_Condition_0_Amount 3
Interactability_Condition_0_Reset
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 44003
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 44000
Interactability_Reward_1_Value 0
Interactability_Reward_1_Modification Assign

Exclude_From_Master_Bundle
