GUID 5d57be5dae73441184081428f89407e0

Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 12216

Size_X 4
Size_Y 2
Size_Z 0.4

Magazine 6
Tactical 57692
Sight 57693
Grip 57694
Barrel 57505

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 30
Ammo_Max 30

Safety
Semi
Auto

Caliber 1

Range 250
Firerate 6
Action Trigger

Gunshot_Rolloff_Distance 300

Player_Damage 35
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 70
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.1

Animal_Damage 65
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 30

Durability 0.005

Spread_Aim 0.025
Spread_Hip 0.4

Recoil_Min_X -4
Recoil_Min_Y 9
Recoil_Max_X -8
Recoil_Max_Y 12

Recover_X 0.3
Recover_Y 0.3

Shake_Min_X -0.001
Shake_Min_Y 0.00075
Shake_Min_Z -0.04
Shake_Max_X 0.001
Shake_Max_Y 0.0005
Shake_Max_Z -0.065

Muzzle 3

Master_Bundle_Override metro.masterbundle
Bundle_Override_Path Items\Military\Metro_AR_Good_Snowy
