GUID 95cb5ecb6a1f46869062ffd322b3058f

Type Medium
ID 12835


Conditions 1
Condition_0_Type Flag_Short
Condition_0_ID 12114
Condition_0_Value 0
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability Quest
Interactability_Conditions 1
Interactability_Condition_0_Type Quest
Interactability_Condition_0_ID 12110
Interactability_Condition_0_Status Active
Interactability_Condition_0_Logic Equal
Interactability_Effect 7
Interactability_Rewards 1
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 12114
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Assign

Master_Bundle_Override nylexadvanced.masterbundle
Bundle_Override_Path /Objects/GoldRingObject

Has_Clip_Prefab false
